Date,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust,Suburb
08/12/2023,13.4,27.4,0,,13,SE,52,22:39,Bullsbrook
09/12/2023,14,29.8,0,,13,SE,61,11:27,Bullsbrook
10/12/2023,14.5,31.5,0,,13.3,SE,50,16:09,Bullsbrook
17/12/2023,18.7,35.2,0,,13.2,ENE,54,22:38,Bullsbrook
07/02/2024,18.6,37.2,0,,12.6,E,52,2:48,Bullsbrook
08/02/2024,18.3,41,0,,12.7,SSW,41,18:36,Bullsbrook
09/02/2024,21.7,44.8,0,,12.5,SW,41,15:33,Bullsbrook
10/02/2024,18.8,44.2,0,,12.5,SW,44,15:43,Bullsbrook
11/02/2024,16.6,42.5,0,,12.4,SW,35,14:11,Bullsbrook
12/02/2024,17.0,38.1,0,,12.4,ENE,54,22:58,Bullsbrook
08/12/2023,15.2,24.7,0,7.4,13,S,50,16:14,Hamersley
19/01/2024,21.4,27.6,0,10.2,12.8,SW,37,14:14,Hamersley
01/12/2023,18.6,35.3,0,7.6,12.6,WSW,33,16:21,Hamersley
02/12/2023,20,26.3,0,9,10.9,SW,31,12:48,Hamersley
03/12/2023,18.3,26.2,0,6.8,9.8,SW,30,14:16,Hamersley
04/12/2023,18.4,26.5,0,8,11.8,SSW,33,15:57,Hamersley
05/12/2023,16.8,28.3,0,8.4,9.4,SW,39,15:55,Hamersley
06/12/2023,15,30.2,0,7.2,13.1,SW,44,16:09,Hamersley
07/12/2023,17.6,25.3,0,10.4,7.7,SSW,46,15:35,Hamersley
08/12/2023,,24.7,0,7.4,13,S,50,16:14,Hamersley
08/12/2023,15.2,24.7,0,7.4,13,S,50,16:14,Hamersley
16/01/2024,17.8,36.3,0,10.4,11.5,ENE,37,5:39,Hamersley
17/01/2024,21.5,31.5,0,11.4,13.2,SW,46,15:56,Hamersley
18/01/2024,16.7,31.2,0,13,13.2,ESE,41,7:10,Hamersley
19/01/2024,,27.6,0,10.2,12.8,SW,37,14:14,Hamersley
19/01/2024,16.2,32.2,0,12,12.3,E,46,6:15,Hamersley
09/12/2023,3.2,28.8,0,,13.0,ESE,52,13:07,Mandogalup
08/12/2023,3.3,26.0,0,,13.0,SW,54,14:15,Mandogalup
04/12/2023,16.5,29.7,0,,11.8,WSW,48,14:52,Mariginiup
06/12/2023,15.1,1.2,0,7.2,13.1,SW,48,16:06,Postans
07/12/2023,16.1,27.1,0,10.4,7.7,SW,52,14:00,Postans
08/12/2023,13.1,26.1,0,7.4,13,SW,56,14:54,Postans
09/12/2023,13.5,29,0,10.2,13,E,52,7:48,Postans
21/12/2023,22.4,38.1,0,22.8,9.6,E,72,0:27,Postans
22/12/2023,20,31.8,0,12.6,12.6,ENE,37,0:50,Postans
23/12/2023,16.6,35.7,0,8.4,13.1,ESE,54,22:35,Postans
24/12/2023,16.6,36.1,0,12.8,12.4,E,54,7:49,Postans
25/12/2023,20,37.5,0,9.4,12,SW,41,16:16,Postans
02/12/2023,17.1,26.1,0,9,9.1,W,39,16:02,South Lake
03/12/2023,18.1,27.5,0,6.8,8.1,SW,33,11:47,South Lake
04/12/2023,16.1,26.1,0,8,10.1,SSW,43,15:30,South Lake
06/12/2023,16.6,33,0,7.2,13.1,SW,48,16:06,South Lake
09/12/2023,13.5,29,0,10.2,13,E,52,7:48,South Lake
10/12/2023,14.1,31.4,0,10.8,13.3,E,57,3:36,South Lake
11/12/2023,15.2,33.9,0,10.4,13.2,E,61,6:34,South Lake
24/12/2023,16.6,36.1,0,12.8,12.4,E,54,7:49,South Lake
26/12/2023,21.1,28.3,0,10.6,9.5,SW,41,14:40,South Lake
28/12/2023,18.2,31.7,0,9.2,11.4,ESE,78,23:31,South Lake
31/12/2023,18.9,33.0,0,9.0,13.1,ESE,44,0:40,South Lake
09/01/2024,17.4,33.4,0,12.4,13.0,SW,48,14:00,South Lake
13/01/2024,22.9,41.3,0.8,11.0,11.3,E,57,0:39,South Lake
14/01/2024,23.4,41.5,0,11.2,12.7,NE,52,12:29,South Lake
15/01/2024,21.8,36.6,0,11.0,12.1,W,43,11:44,South Lake
24/01/2024,16.8,31.1,0,8.6,12.9,SW,52,14:38,South Lake
04/12/2023,18.4,26.5,0,8,11.8,SSW,33,15:57,Wanneroo
09/01/2024,18.1,30.6,0,12.4,13,SW,48,15:27,Wanneroo
15/01/2024,22.3,34.4,0,11,12.1,WSW,26,13:42,Wanneroo
19/01/2024,21.4,27.6,0,10.2,12.8,SW,37,14:14,Wanneroo
23/01/2024,16.6,27.7,0,9.4,13,S,39,13:52,Wanneroo
23/02/2024,17.9,37.7,0,9,12.1,ENE,39,5:41,Wanneroo
