Date,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust,Suburb
09/02/2024,18.8,43.4,0,14.2,12.5,ENE,46,7:17,Guildford
08/02/2024,15.4,41.1,0,11.8,12.7,ENE,50,12:21,Guildford
08/02/2024,15.4,41.1,0,11.8,12.7,ENE,50,12:21,Hazelmere
08/02/2024,15.4,41.1,0,11.8,12.7,ENE,50,12:21,High Wycombe
09/02/2024,18.8,43.4,0,14.2,12.5,ENE,46,7:17,Perth Airport
08/02/2024,15.4,41.1,0,11.8,12.7,ENE,50,12:21,Perth Airport
09/02/2024,18.8,43.4,0,14.2,12.5,ENE,46,7:17,South Guildford
08/02/2024,15.4,41.1,0,11.8,12.7,ENE,50,12:21,South Guildford
09/02/2024,19.9,42,0,14.2,12.5,SW,33,15:34,South Perth
08/02/2024,17.4,39.9,0,11.8,12.7,S,35,16:04,South Perth
09/02/2024,19.9,42,0,14.2,12.5,SW,33,15:34,Ascot
