Date,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust,suburb
18/12/2023,16.6,31.6,0,13,13.2,E,56,7:21,Welshpool
19/12/2023,16.3,32.8,0,12,12.3,E,63,4:01,Welshpool
18/12/2023,16.7,31.2,0,13,13.2,ESE,41,7:10,Belmont
19/12/2023,16.7,31.2,0,13,13.2,ESE,41,7:10,Belmont
08/02/2024,17.4,39.9,0,11.8,12.7,S,35,16:04,Belmont
09/02/2024,19.9,42,0,14.2,12.5,SW,33,15:34,Belmont
20/12/2023,20.1,37.5,0,NULL,11.3,E,70,23:54,The Vines
21/12/2023,20.4,36.7,NULL,NULL,NULL,E,89,2:02,Mundaring
22/12/2023,20.8,33.4,NULL,NULL,NULL,E,63,1:18,Mundaring
23/12/2023,18.3,36,NULL,NULL,NULL,E,59,23:34,Mundaring
24/12/2023,14.8,36,NULL,NULL,NULL,E,78,1:32,Mundaring
25/12/2023,19.2,38.7,NULL,NULL,NULL,ESE,56,6:39,Mundaring
26/12/2023,19.7,28.6,NULL,NULL,NULL,SW,44,14:57,Mundaring
27/12/2023,15.6,28,NULL,NULL,NULL,E,50,23:18,Mundaring
28/12/2023,16.7,30.1,NULL,NULL,NULL,ESE,74,23:07,Mundaring
29/12/2023,15.6,31.5,NULL,NULL,NULL,E,80,23:19,Mundaring
14/02/2024,15.3,36.8,NULL,NULL,NULL,ESE,63,4:20,Mundaring
21/12/2023,20.4,36.7,NULL,NULL,NULL,E,89,2:02,Parkerville
22/12/2023,20.4,36.7,NULL,NULL,NULL,E,89,2:02,Parkerville
23/12/2023,18.3,36,NULL,NULL,NULL,E,59,23:34,Parkerville
24/12/2023,14.8,36,NULL,NULL,NULL,E,78,1:32,Parkerville
25/12/2023,19.2,38.7,NULL,NULL,NULL,ESE,56,6:39,Parkerville
26/12/2023,19.7,28.6,NULL,NULL,NULL,SW,44,14:57,Parkerville
27/12/2023,15.6,28,NULL,NULL,NULL,E,50,23:18,Parkerville
14/02/2024,15.3,36.8,NULL,NULL,NULL,ESE,63,4:20,Parkerville
21/12/2023,15.9,35.9,NULL,11.2,13.2,SW,31,15:57,Hovea
21/12/2023,20.4,36.7,NULL,NULL,NULL,E,89,2:02,Stoneville
