created_at,suburb,time,status,location,area,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust
2023-12-08 16:31:51+00:00,Anketell,0:31:00,ADVICE,MANDOGALUP and ANKETELL,CITY OF KWINANA,13.3,26.0,0.0,NULL,13.0,SW,54.0,14:15
2023-12-08 17:12:19+00:00,Anketell,1:12:00,ADVICE,MANDOGALUP and ANKETELL,CITY OF KWINANA,13.3,26.0,0.0,NULL,13.0,SW,54.0,14:15
2023-12-08 19:28:25+00:00,Anketell,3:28:00,ADVICE,"POSTANS, MANDOGALUP and ANKETELL",CITY OF KWINANA,13.3,26.0,0.0,NULL,13.0,SW,54.0,14:15
2023-12-08 21:41:25+00:00,Anketell,5:41:00,ADVICE,"POSTANS, MANDOGALUP and ANKETELL",CITY OF KWINANA,13.3,26.0,0.0,NULL,13.0,SW,54.0,14:15
2023-12-09 02:54:21+00:00,Anketell,10:54:00,BURNT,"POSTANS, MANDOGALUP and ANKETELL",CITY OF KWINANA,13.2,28.8,0.0,NULL,13.0,ESE,52.0,13:07
2023-12-09 03:07:21+00:00,Anketell,11:07:00,BURNT,"POSTANS, MANDOGALUP and ANKETELL",CITY OF KWINANA,13.2,28.8,0.0,NULL,13.0,ESE,52.0,13:07
2023-12-29 01:16:12+00:00,Armadale,9:16:00,BURNT,ROLEYSTONE,CITY OF ARMADALE,17.3,33.1,0,,11.0,E,61,23:59
2023-12-28 07:19:55+00:00,Armadale,15:19:00,ADVICE,ROLEYSTONE,CITY OF ARMADALE,18.0,30.4,0.0,NULL,11.4,ESE,65,20:51
2024-01-04 02:09:41+00:00,Armadale,10:09:00,BURNT,"CHAMPION LAKES, SEVILLE GROVE and FORRESTDALE",CITY OF ARMADALE,16.4,31.6,0.0,NULL,13.1,ESE,56,1:04
2023-12-27 05:11:30+00:00,Armadale,13:11:00,WATCH AND ACT,CHAMPION LAKES and GOSNELLS,CITY OF ARMADALE,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
2023-12-27 05:23:32+00:00,Armadale,13:23:00,WATCH AND ACT,"CHAMPION LAKES, GOSNELLS and SOUTHERN RIVER",CITY OF ARMADALE and CITY OF GOSNELLS,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
2023-12-27 05:30:31+00:00,Armadale,13:30:00,WATCH AND ACT,"CHAMPION LAKES, GOSNELLS and SOUTHERN RIVER",CITY OF ARMADALE and CITY OF GOSNELLS,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
2023-12-27 06:10:41+00:00,Armadale,14:10:00,ADVICE,"CHAMPION LAKES, GOSNELLS and SOUTHERN RIVER",CITY OF ARMADALE and CITY OF GOSNELLS,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
2023-12-27 07:46:20+00:00,Armadale,15:46:00,BURNT,"CHAMPION LAKES, GOSNELLS and SOUTHERN RIVER",CITY OF ARMADALE and CITY OF GOSNELLS,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
2023-12-27 09:11:29+00:00,Armadale,17:11:00,BURNT,"CHAMPION LAKES, GOSNELLS and SOUTHERN RIVER",CITY OF ARMADALE and CITY OF GOSNELLS,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
