created_at,suburb,time,status,location,area,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust
2024-01-05 12:30:00+00:00,Kensington,NULL,SAFE,NULL,NULL,16.2,30.9,0.0,11.0,13.2,E,35.0,1:01
2024-01-05 12:30:00+00:00,Churchlands,NULL,SAFE,NULL,NULL,16.2,30.9,0.0,11.0,13.2,E,35.0,1:01
2024-01-05 12:30:00+00:00,Nollamara,NULL,SAFE,NULL,NULL,16.2,30.9,0.0,11.0,13.2,E,35.0,1:01
2024-01-05 12:30:00+00:00,Darlington,NULL,SAFE,NULL,NULL,16.2,30.9,0.0,11.0,13.2,E,35.0,1:01
2024-01-05 12:30:00+00:00,Perth (CBD),NULL,SAFE,NULL,NULL,16.2,30.9,0.0,11.0,13.2,E,35.0,1:01
2024-01-05 12:30:00+00:00,Malaga,NULL,SAFE,NULL,NULL,16.2,30.9,0.0,11.0,13.2,E,35.0,1:01
2024-01-06 12:30:00+00:00,Kensington,NULL,SAFE,NULL,NULL,17.7,33.4,0.0,6.2,13.1,SW,41.0,16:27
2024-01-06 12:30:00+00:00,Churchlands,NULL,SAFE,NULL,NULL,17.7,33.4,0.0,6.2,13.1,SW,41.0,16:27
2024-01-06 12:30:00+00:00,Nollamara,NULL,SAFE,NULL,NULL,17.7,33.4,0.0,6.2,13.1,SW,41.0,16:27
2024-01-06 12:30:00+00:00,Darlington,NULL,SAFE,NULL,NULL,17.7,33.4,0.0,6.2,13.1,SW,41.0,16:27
2024-01-06 12:30:00+00:00,Perth (CBD),NULL,SAFE,NULL,NULL,17.7,33.4,0.0,6.2,13.1,SW,41.0,16:27
2024-01-06 12:30:00+00:00,Malaga,NULL,SAFE,NULL,NULL,17.7,33.4,0.0,6.2,13.1,SW,41.0,16:27
2024-01-07 12:30:00+00:00,Kensington,NULL,SAFE,NULL,NULL,18.1,36.0,0.0,9.2,12.7,SSW,37.0,17:03
2024-01-07 12:30:00+00:00,Churchlands,NULL,SAFE,NULL,NULL,18.1,36.0,0.0,9.2,12.7,SSW,37.0,17:03
2024-01-07 12:30:00+00:00,Nollamara,NULL,SAFE,NULL,NULL,18.1,36.0,0.0,9.2,12.7,SSW,37.0,17:03
2024-01-07 12:30:00+00:00,Darlington,NULL,SAFE,NULL,NULL,18.1,36.0,0.0,9.2,12.7,SSW,37.0,17:03
2024-01-07 12:30:00+00:00,Perth (CBD),NULL,SAFE,NULL,NULL,18.1,36.0,0.0,9.2,12.7,SSW,37.0,17:03
2024-01-07 12:30:00+00:00,Malaga,NULL,SAFE,NULL,NULL,18.1,36.0,0.0,9.2,12.7,SSW,37.0,17:03
2024-01-08 12:30:00+00:00,Kensington,NULL,SAFE,NULL,NULL,20.1,36.5,0.0,12.0,13.1,SSW,43.0,15:21
2024-01-08 12:30:00+00:00,Churchlands,NULL,SAFE,NULL,NULL,20.1,36.5,0.0,12.0,13.1,SSW,43.0,15:21
2024-01-08 12:30:00+00:00,Nollamara,NULL,SAFE,NULL,NULL,20.1,36.5,0.0,12.0,13.1,SSW,43.0,15:21
2024-01-08 12:30:00+00:00,Darlington,NULL,SAFE,NULL,NULL,20.1,36.5,0.0,12.0,13.1,SSW,43.0,15:21
2024-01-08 12:30:00+00:00,Perth (CBD),NULL,SAFE,NULL,NULL,20.1,36.5,0.0,12.0,13.1,SSW,43.0,15:21
2024-01-08 12:30:00+00:00,Malaga,NULL,SAFE,NULL,NULL,20.1,36.5,0.0,12.0,13.1,SSW,43.0,15:21
